word,details,definition,grammaticalClass,stage
terreo,"terrere, terrui, territus",frighten,verb 2,7
timeo,"timere, timui","fear, be afraid",verb 2,12
tollo,"tollere, sustuli, sublatus ","raise, lift up",verb irreg,16
tot,indecl.,so many,adj (indecl.),19
totus,"tota, totum",whole,adj 1+2,8
trado,"tradere, tradidi, traditus",hand over,verb 3,9
traho,"trahere, traxi, tractus","drag, draw, pull",verb 3,13
trans,+ acc (also used as prefix with verbs),across,prep,0
tres,tria,three,adj (numerical),12
tristis,triste,sad,adj 3,24
tu,tui,you (singular),pron,4
tum,indecl.,then,adv,6
turba,"turbae, f.",crowd,noun 1,5
tutus,"tuta, tutum",safe,adj 1+2,22
tuus,"tua, tuum","your (singular), yours",pron,6
ubi,indecl.,"where, when, where? ",adv,5
umquam,indecl.,ever,adv,23
unde,indecl.,from where,adv,21
unus,"una, unum",one,adj (numerical),12
urbs,"urbis, f.",city,noun 3,5
ut,indecl. + subjunc.,"that, so that, in order that",conj,26
ut,indecl. + indic.,as,conj,28
uxor,"uxoris, f.",wife,noun 3,10
vehementer,indecl.,"violently, loudly, strongly",adv,10
vendo,"vendere, vendidi, venditus ",sell,verb 3,6
venio,"venire, veni",come,verb 4,5
verbum,"verbi, n.",word,noun 2,22
verus,"vera, verum","true, real",adj 1+2,33
vester,"vestra, vestrum","your (plural), yours",pron,29
vestimenta,"vestimentorum, n.pl. ",clothes,noun 2,34
via,"viae, f.","street, road, way",noun 1,1
video,"videre, vidi, visus",see,verb 2,3
villa,"villae, f.","house, country house",noun 1,2
vinco,"vincere, vici, victus","conquer, win, be victorious",verb 3,15
vinum,"vini, n.",wine,noun 2,3
vir,"viri, m.",man,noun 2,11
vita,"vitae, f.",life,noun 1,13
vivo,"vivere, vixi","live, be alive",verb 3,19
vivus,"viva, vivum","alive, living",adj 1+2,29
vix,indecl.,"scarcely, hardly, with difficulty",adv,19
voco,"vocare, vocavi, vocatus",call,verb 1,4
volo,"velle, volui",want,verb irreg,13
vos,vestrum,you (plural),pron,10
vox,"vocis, f.","voice, shout",noun 3,19
vulnus,"vulneris, n.",wound ,noun 3,20
vultus,"vultus, m.","expression, face",noun 4,31
